Scale;Original;Published_PT;Profissional_Translation_ENtoPT;Profissional_Translation_PTtoEN
BIS-11;I plan tasks carefully.;Eu planejo tarefas cuidadosamente.;Planejo as tarefas cuidadosamente.;I plan tasks carefully.
BIS-11;I do things without thinking.;Eu faço coisas sem pensar.;Faço coisas sem pensar.;I do things without thinking.
BIS-11;I make-up my mind quickly.;Eu tomo decisões rapidamente.;Tomo decisões rapidamente.;I make decisions quickly.
BIS-11;I am happy-go-lucky.;Eu sou despreocupado (confio na sorte, “desencanado”).;Sou despreocupado.;I am carefree (I trust luck, “laid-back”).
BIS-11;I do not “pay attention”.;Eu não presto atenção.;"Não ""presto atenção"".";I don't pay attention.
BIS-11;I have “racing” thoughts.;Eu tenho pensamentos que se atropelam.;"Estou com pensamentos ""acelerados"".";I have racing thoughts.
BIS-11;I plan trips well ahead of time.;Eu planejo viagens com bastante antecedência.;Eu planejo viagens com bastante antecedência.;I plan trips well in advance.
BIS-11;I am self controlled.;Eu tenho autocontrole.;Tenho autocontrole.;I have self-control.
BIS-11;I concentrate easily.;Eu me concentro facilmente.;Me concentro facilmente.;I focus easily.
BIS-11;I save regularly.;Eu economizo (poupo) regularmente.;Economizo regularmente.;I save regularly.
BIS-11;I “squirm” at plays or lectures.;Eu fico me contorcendo na cadeira em peças de teatro ou palestras.;"""Me contorço"" em peças de teatro ou palestras.";I squirm in my seat during plays or lectures.
BIS-11;I am a careful thinker.;Eu penso nas coisas com cuidado.;Sou uma pessoa que pensa com cuidado.;I think things through carefully.
BIS-11;I plan for job security.;Eu faço planos para me manter no emprego (eu cuido para não perder meu emprego).;Planejo para a segurança no emprego.;I make plans to keep my job (I make sure not to lose my job).
BIS-11;I say things without thinking.;Eu falo coisas sem pensar.;Digo coisas sem pensar.;I say things without thinking.
BIS-11;I like to think about complex problems.;Eu gosto de pensar em problemas complexos.;Gosto de pensar sobre problemas complexos.;I enjoy thinking about complex problems.
BIS-11;I change jobs.;Eu troco de emprego.;Mudo de emprego.;I change jobs.
BIS-11;I act “on impulse.”;Eu ajo por impulso.;"Ajo ""por impulso"".";I act on impulse.
BIS-11;I get easily bored when solving thought problems.;Eu fico entediado com facilidade quando estou resolvendo problemas mentalmente.;Fico entediado facilmente ao resolver problemas de raciocínio.;I get bored easily when solving mental problems.
BIS-11;I act on the spur of the moment.;Eu ajo no “calor” do momento.;"Ajo no ""calor do momento"".";I act in the heat of the moment.
BIS-11;I am a steady thinker.;Eu mantenho a linha de raciocínio (“não perco o fio da meada”).;Sou um pensador constante.;I stay on track (I don’t lose my train of thought).
BIS-11;I change residences.;Eu troco de casa (residência).;Mudo de residência.;I move houses (residence).
BIS-11;I buy things on impulse.;Eu compro coisas por impulso.;Compro coisas por impulso.;I buy things on impulse.
BIS-11;I can only think about one thing at a time.;Eu só consigo pensar em uma coisa de cada vez.;Só consigo pensar em uma coisa de cada vez.;I can only think about one thing at a time.
BIS-11;I change hobbies.;Eu troco de interesses e passatempos (“hobby”).;Mudo de hobbies.;I change interests and hobbies.
BIS-11;I spend or charge more than I earn.;Eu gasto ou compro a prestação mais do que ganho.;Gasto ou cobro mais do que ganho.;I spend or buy on credit more than I earn.
BIS-11;I often have extraneous thoughts when thinking.;Enquanto estou pensando em uma coisa, é comum que outras ideias me venham à cabeça ou ao mesmo tempo.;Frequentemente tenho pensamentos extrínsecos quando estou pensando.;While I’m thinking about one thing, it’s common for other ideas to come to mind or come at the same time.
BIS-11;I am more interested in the present than the future.;Eu tenho mais interesse no presente do que no futuro.;Estou mais interessado no presente do que no futuro.;I’m more interested in the present than in the future.
BIS-11;I am restless at the theater or lectures.;Eu me sinto inquieto em palestras ou aulas.;Fico inquieto no teatro ou em palestras.;I feel restless during lectures or classes.
BIS-11;I like puzzles.;Eu gosto de jogos e desafios mentais.;Gosto de quebra-cabeças.;I enjoy games and mental challenges.
BIS-11;I am future oriented.;Eu me preparo para o futuro.;Sou orientado para o futuro.;I prepare for the future.
DII;Often, I don't spend enough time thinking over a situation before I act.;Na maioria das vezes, eu não gasto muito tempo pensando sobre uma situação antes de agir.;Frequentemente, não passo tempo suficiente refletindo sobre uma situação antes de agir.;Most of the time, I don’t spend much time thinking about a situation before acting.
DII;I try to avoid activities where you have to act without much time to think first.;Eu tento evitar atividades nas quais tenho que agir sem muito tempo para pensar antes.;Tento evitar atividades em que tenho que agir sem muito tempo para pensar primeiro.;I try to avoid activities where I have to act without much time to think first.
DII;I don't like to make decisions quickly, even simple decisions, such as choosing what to wear, or what to have for dinner.;Eu não gosto de tomar decisões rapidamente, mesmo decisões simples, como escolher o que vestir ou o que comer no jantar.;Não gosto de tomar decisões rapidamente, mesmo decisões simples, como escolher o que vestir ou o que comer no jantar.;I don’t like making quick decisions, even simple ones like choosing what to wear or what to eat for dinner.
DII;I enjoy working out problems slowly and carefully.;Eu gosto de resolver problemas de forma lenta e cuidadosa.;Gosto de resolver problemas de forma lenta e cuidadosa.;I like to solve problems slowly and carefully.
DII;I am good at taking advantage of unexpected opportunities, where you have to do something immediately or lose your chance.;Eu sou bom em aproveitar oportunidades inesperadas, em que você tem que fazer algo imediatamente, ou perde sua chance.;Sou bom em aproveitar oportunidades inesperadas, onde você precisa agir imediatamente ou perderá sua chance.;"I am good at taking advantage of unexpected opportunities, where you have to act immediately or miss
your chance."
DII;I would enjoy working at a job that required me to make a lot of split-second decisions.;Eu gostaria de trabalhar em um emprego que me exigisse tomar várias decisões em frações de segundo.;Gostaria de trabalhar em um emprego que exigisse que eu tomasse muitas decisões em frações de segundo.;I would like to work at a job that required me to make many split-second decisions.
DII;I often make up my mind without taking the time to consider the situation from all angles.;Eu frequentemente tomo decisões sem gastar tempo analisando a situação de todos os ângulos.;Frequentemente, tomo decisões sem dedicar tempo para considerar a situação de todos os ângulos.;I often make decisions without spending time analyzing the situation from all angles.
DII;I have often missed out on opportunities because I couldn't make up my mind fast enough.;Muitas vezes perco oportunidades porque eu não consigo decidir com rapidez suficiente.;Muitas vezes perdi oportunidades porque não consegui me decidir rápido o suficiente.;I often miss opportunities because I can’t decide quickly enough.
DII;I often say and do things without considering the consequences.;Eu frequentemente digo e faço coisas sem levar em conta as consequências.;Frequentemente, digo e faço coisas sem considerar as consequências.;I often say and do things without considering the consequences.
DII;I frequently make appointments without thinking about whether I will be able to keep them.;Eu frequentemente marco compromissos sem pensar se vou ser capaz de cumpri-los.;Frequentemente, marco compromissos sem pensar se serei capaz de cumpri-los.;I often schedule appointments without thinking about whether I’ll be able to keep them.
DII;I am uncomfortable when I have to make up my mind rapidly.;Eu me sinto desconfortável quando tenho que tomar decisões rápidas;Me sinto desconfortável quando tenho que tomar uma decisão rapidamente.;I feel uncomfortable when I have to make quick decisions.
DII;I don't like to do things quickly, even when I am doing something that is not very difficult.;Eu não gosto de fazer coisas rapidamente, mesmo quando eu estou fazendo algo que não é muito difícil.;Não gosto de fazer as coisas rapidamente, mesmo quando estou fazendo algo que não é muito difícil.;I don’t like doing things quickly, even when I’m doing something that’s not very difficult.
DII;I frequently buy things without thinking about whether or not I can really afford them.;Eu frequentemente compro coisas sem pensar se realmente posso ou não adquiri-las.;Frequentemente, compro coisas sem pensar se realmente posso pagá-las.;I often buy things without thinking whether I can really afford them.
DII;I'm good at careful reasoning.;Eu sou bom em raciocinar cuidadosamente.;Sou bom em ponderar cuidadosamente.;I am good at reasoning carefully.
DII;I like to take part in really fast-paced conversations, where you don't have much time to think before you speak.;Eu gosto de participar de conversas rápidas, nas quais você não tem muito tempo para pensar antes de falar.;Gosto de participar de conversas realmente rápidas, onde você não tem muito tempo para pensar antes de falar.;I like to participate in fast-paced conversations here you don’t have much time to think before speaking.
DII;I like sports and games in which you have to choose your next move very quickly.;Eu gosto de esportes e jogos nos quais você tem que decidir o próximo movimento muito rapidamente.;Gosto de esportes e jogos nos quais você precisa escolher seu próximo movimento muito rapidamente.;I like sports and games in which you have to decide your next move very quickly.
DII;Many times the plans I make don't work out because I haven't gone over them carefully enough in advance.;Muitas vezes os planos que faço não funcionam porque eu não os examinei suficientemente com cuidado em antecedência.;Muitas vezes, os planos que faço não dão certo porque não os revisei cuidadosamente com antecedência.;Often the plans I make don’t work out because I didn’t examine them carefully enough in advance.
DII;I often get into trouble because I don't think before I act.;Eu costumo ter problemas por não pensar antes de agir.;Frequentemente, me envolvo em problemas porque não penso antes de agir.;I often get into trouble for not thinking before acting.
DII;Most of the time, I can put my thoughts into words very rapidly.;Na maioria das vezes, eu posso transformar rapidamente meus pensamentos em palavras.;Na maioria das vezes, consigo expressar meus pensamentos em palavras muito rapidamente.;Most of the time, I can quickly turn my thoughts into words.
DII;People have admired me because I can think quickly.;As pessoas me admiram por eu pensar rapidamente.;As pessoas me admiram porque consigo pensar rapidamente.;People admire me for thinking quickly.
DII;I will often say whatever comes into my head without thinking first.;Eu costumo dizer as coisas que vêm a minha mente sem pensar antes.;Costumo dizer o que me vem à cabeça sem pensar primeiro.;I tend to say whatever comes to my mind without thinking first.
DII;Before making any important decision, I carefully weigh the pros and cons.;Antes de tomar qualquer decisão importante eu peso cuidadosamente nos prós e contras.;Antes de tomar qualquer decisão importante, avalio cuidadosamente os prós e contras.;Before making any important decision, I carefully weigh the pros and cons.
DII;I rarely get involved in projects without first considering the potential problems.;Eu raramente me envolvo em projetos sem primeiro considerar os possíveis problemas.;Raramente me envolvo em projetos sem primeiro considerar os problemas potenciais.;I rarely get involved in projects without first considering the possible problems.
PSDQ;I am responsive to our child’s feelings or needs.;Eu respondo aos sentimentos ou necessidades do(a) meu (minha) filho(a);Sou sensível aos sentimentos ou necessidades do nosso filho.;I respond to my child’s feelings or needs.
PSDQ;I use physical punishment as a way of disciplining our child.;Eu uso castigos físicos como forma de disciplinar meu (minha) filho(a).;Uso punição física como uma forma de disciplinar nosso filho.;I use physical punishment as a way to discipline my child.
PSDQ;I take our child’s desires into account before asking the child to do something.;Eu levo em conta a vontade do(a) meu (minha) filho(a) antes de lhe pedir para fazer alguma coisa.;Levo em consideração os desejos do nosso filho antes de pedir que ele faça algo.;I take my child’s wishes into account before asking him/her to do something.
PSDQ;When our child asks why (he)(she) has to conform, I state: because I said so or I am your parent and I want you to.;"Quando meu (minha) filho(a) pergunta por que tem que obedecer, eu digo: ‘‘Porque eu disse que sim’’ ou ‘‘Porque eu sou seu (sua) pai/mãe e eu quero assim""";Quando nosso filho pergunta por que ele tem que se conformar, eu digo: porque eu disse ou eu sou seu pai/sua mãe e eu quero que você faça isso.;"When my child asks why he/she has to obey, I say: ""Because I said so"" or ""Because I’m your parent and I want it that way."""
PSDQ;I explain to our child how we feel about the child’s good and bad behavior.;Eu explico ao (á) meu (minha) filho(a) como me sinto em relação ao seu bom e ao seu mau comportamento.;Explico ao nosso filho como nos sentimos em relação ao bom e ao mau comportamento dele.;I explain to my child how I feel about his/her good and bad behavior.
PSDQ;I spank when our child is disobedient.;Quando meu (minha) filho(a) é desobediente, eu dou uma palmada nele(a);Dou palmadas quando nosso filho é desobediente.;When my child is disobedient, I spank him/her.
PSDQ;I encourage our child to talk about the child’s troubles.;Eu encorajo meu (minha) filho(a) a conversar sobre seus problemas.;Incentivo nosso filho a falar sobre os problemas dele.;I encourage my child to talk about his/her problems.
PSDQ;I find it difficult to discipline our child.;Eu acho difícil disciplinar meu (minha) filho(a).;Acho difícil disciplinar nosso filho.;I find it hard to discipline my child.
PSDQ;I encourage our child to freely express (himself)(herself) even when disagreeing with parents.;Eu encorajo meu (minha) filho(a) a se expressar abertamente, mesmo quando eu não concordo com ele(a).;Incentivo nosso filho a se expressar livremente, mesmo quando discorda dos pais.;I encourage my child to express him/herself openly, even when I don’t agree.
PSDQ;I punish by taking privileges away from our child with little if any explanations.;Eu castigo meu (minha) filho(a) lhe tirando privilégios com pouca ou nenhuma explicação;Castigo tirando privilégios do nosso filho com poucas ou nenhuma explicação.;I punish my child by taking away privileges with little or no explanation.
PSDQ;I emphasize the reasons for rules.;Eu explico os motivos para as regras.;Enfatizo as razões para as regras.;I explain the reasons behind the rules.
PSDQ;I give comfort and understanding when our child is upset.;Eu dou conforto e compreensão ao(à) meu (minha) filho(a) quando ele(a) está chateado(a) ;Dou conforto e compreensão quando nosso filho está chateado.;I give comfort and understanding to my child when he/she is upset.
PSDQ;I yell or shout when our child misbehaves.;Eu grito ou berro quando meu (minha) filho(a) se comporta mal.;Grito ou berro quando nosso filho se comporta mal.;I yell or shout when my child misbehaves.
PSDQ;I give praise when our child is good.;Eu parabenizo meu (minha) filho(a) quando ele(a) se comporta bem.;Elogio quando nosso filho se comporta bem.;I praise my child when he/she behaves well.
PSDQ;I give into our child when the child causes a commotion about something.;Eu acabo cedendo quando meu (minha) filho(a) faz birra por alguma coisa.;Cedo ao nosso filho quando ele faz uma confusão sobre algo.;I end up giving in when my child throws a tantrum for something.
PSDQ;I explode in anger towards our child.;Eu tenho explosões de raiva com meu (minha) filho(a).;Tenho uma explosão de raiva com nosso filho.;I have angry outbursts with my child.
PSDQ;I threaten our child with punishment more often than actually giving it.;Eu ameaço castigar meu (minha) filho(a) mais vezes do que realmente o(a) castigo.;Ameaço nosso filho com punição mais frequentemente do que realmente aplico.;I threaten to punish my child more often than I actually do.
PSDQ;I take into account our child’s preferences in making plans for the family.;Eu levo em consideração as preferências do(a) meu (minha) filho(a) ao fazer planos para a família.;Levo em consideração as preferências do nosso filho ao fazer planos para a família.;I take my child’s preferences into account when making family plans.
PSDQ;I grab our child when he/she is being disobedient.;Eu seguro com força meu (minha) filho(a) quando ele(a) é desobediente.;Pego nosso filho quando ele está sendo desobediente.;I grab my child forcefully when he/she is disobedient.
PSDQ;I state punishments to our child and do not actually do them.;Eu determino castigos para meu (minha) filho(a), mas não os cumpro realmente;Estabeleço punições para nosso filho e não as cumpro de fato.;I assign punishments to my child but don’t actually enforce them.
