Scale;Original;Published_PT;Profissional_Translation_ENtoPT;Profissional_Translation_PTtoEN
PSDQ;I show respect for our child’s opinions by encouraging our child to express them.;Eu mostro respeito pelas opiniões do(a) meu (minha) filho(a) lhe encorajando a expressá-las. ;Mostro respeito pelas opiniões do nosso filho, incentivando-o a expressá-las.;I show respect for my child’s opinions by encouraging him/her to express them.
PSDQ;I allow our child to give input into family rules.;Eu permito que meu (minha) filho(a) dê opiniões nas regras da família.;Permito que nosso filho dê sugestões nas regras da família.;I allow my child to have input on the family rules.
PSDQ;I scold and criticize to make our child improve.;Eu repreendo e critico duramente meu (minha) filho(a) para fazê-lo(a) melhorar.;Repreendo e critico para fazer nosso filho melhorar.;I scold and harshly criticize my child to make him/her improve.
PSDQ;I spoil our child.;Eu mimo meu (minha) filho(a).;Mimo nosso filho.;I spoil my child.
PSDQ;I give our child reasons why rules should be obeyed.;Eu explico ao(à) meu (minha) filho(a) as razões pelas quais as regras devem ser obedecidas. ;Dou ao nosso filho razões pelas quais as regras devem ser obedecidas.;I explain to my child the reasons why rules must be followed.
PSDQ;I use threats as punishment with little or no justification.;Eu uso ameaças como forma de castigo com pouca ou nenhuma justificativa.;Uso ameaças como punição com pouca ou nenhuma justificativa.;I use threats as punishment with little or no justification.
PSDQ;I have warm and intimate times together with our child.;Eu tenho momentos calorosos e especiais com o(a) meu (minha) filho(a);Tenho momentos carinhosos e íntimos junto com nosso filho.;I have warm and special moments with my child.
PSDQ;I punish by putting our child off somewhere alone with little if any explanations.;Como uma forma de castigo, eu coloco meu (minha) filho(a) em algum lugar sozinho(a), mas sem dar muita explicação.;Castigo colocando nosso filho em algum lugar sozinho, com poucas ou nenhuma explicação.;As a form of punishment, I place my child alone somewhere, but without much explanation.
PSDQ;I help our child to understand the impact of behavior by encouraging our child to talk about the consequences of his/her own actions.;Eu ajudo meu (minha) filho(a) a entender o impacto do seu comportamento lhe encorajando a falar sobre as consequências de suas ações.;Ajudo nosso filho a entender o impacto do comportamento, incentivando-o a falar sobre as consequências de suas próprias ações.;I help my child understand the impact of his/her behavior by encouraging him/her to talk about the consequences of their actions.
PSDQ;I scold or criticize when our child’s behavior doesn’t meet our expectations.;Eu repreendo e critico duramente meu (minha) filho(a) quando seu comportamento não atinge minhas expectativas.;Repreendo ou critico quando o comportamento do nosso filho não atende às nossas expectativas.;I scold and harshly criticize my child when his/her behavior does not meet my expectations.
PSDQ;I explain the consequences of the child’s behavior.;Eu explico ao(à) meu (minha) filho(a) as consequências do seu comportamento.;Explico as consequências do comportamento do nosso filho.;I explain to my child the consequences of his/her behavior.
PSDQ;I slap our child when the child misbehaves.;Eu dou uma palmada no(a) meu (minha) filho(a) quando ele(a) se comporta mal.;Dou um tapa em nosso filho quando ele se comporta mal.;I spank my child when he/she misbehaves.
W-ADL;Making his/her own bed.;Arruma sua própria cama.;Arrumando sua própria cama.;Makes his/her own bed.
W-ADL;Doing household tasks, including picking up around the house, putting things away, light housecleaning, etc.;Realiza tarefas domésticas, como organizar coisas pela casa, trocar objetos de lugar, limpeza leve etc.;Fazendo tarefas domésticas, incluindo arrumar a casa, guardar as coisas, limpeza leve, etc.;Performs household tasks, such as organizing things around the house, moving objects, light cleaning, etc.
W-ADL;Doing errands, including shopping in stores.;Realizam saídas curtas de casa, incluindo fazer compras em lojas.;Fazendo tarefas, incluindo compras em lojas.;Goes on short outings from home, including shopping at stores.
W-ADL;"Doing home repairs, including simple repairs around the house, non-technical in nature; for example, changing light bulbs or repairing a loose screw.";Realiza pequenos reparos pela casa, incluindo reparos simples, nada muito técnico, como, por exemplo, trocar uma lâmpada ou colocar um parafuso.;"Fazendo reparos domésticos, incluindo reparos simples pela casa, de natureza não técnica; por exemplo, trocar lâmpadas ou consertar um parafuso solto.";Performs small household repairs, including simple, non-technical tasks like changing a light bulb or tightening a screw.
W-ADL;Doing laundry, washing and drying.;Lava roupa.;Lavando roupa, lavando e secando.;Does the laundry.
W-ADL;Washing/bathing.;Toma banho.;Se lavando/tomando banho.;Takes a shower.
W-ADL;Grooming, brushing teeth, combing and/or brushing hair.;Realiza a higiene pessoal, como escovar os dentes, pentear ou escovar os cabelos.;Higiene pessoal, escovar os dentes, pentear e/ou escovar o cabelo.;Performs personal hygiene, such as brushing teeth, combing or brushing hair.
W-ADL;Dressing and undressing.;Coloca e retira sua roupa.;Vestir e despir.;Puts on and takes off his/her clothes.
W-ADL;Toileting.;Utiliza o vaso sanitário.;Uso do banheiro.;Uses the toilet.
W-ADL;Preparing simple foods requiring no mixing or cooking, including sandwiches, cold cereal, etc.;Prepara alimentos simples, sem a necessidade de misturas ou cozinhar, incluindo sanduíches, cereais etc.;Preparar alimentos simples que não exigem mistura ou cozimento, incluindo sanduíches, cereais frios, etc.;Prepares simple foods, without needing to mix or cook, including sandwiches, cereal, etc.
W-ADL;Mixing and cooking simple foods, fry eggs, make pancakes, heat food in microwave, etc.;Cozinha alimentos simples, como fritar ovos, aquecer comida no micro-     ondas, etc.;Misturar e cozinhar alimentos simples, fritar ovos, fazer panquecas, aquecer comida no micro-ondas, etc.;Cooks simple foods, such as frying eggs, heating food in the microwave, etc.
W-ADL;Preparing complete meal.;Prepara uma refeição completa.;Preparando refeição completa.;Prepares a complete meal.
W-ADL;Setting and clearing table.;Prepara e retira a mesa para as refeições.;Arrumar e limpar a mesa.;Sets and clears the table for meals.
W-ADL;Drinking from a cup.;Bebe com um copo.;Bebendo de um copo.;Drinks from a cup.
W-ADL;Eating from a plate.;Utiliza um prato para comer.;Comendo de um prato.;Uses a plate to eat.
W-ADL;Washing dishes (including using a dishwasher).;Lava pratos.;Lavar louça (incluindo o uso de uma lava-louças).;Washes dishes.
W-ADL;Banking and managing daily finances, including keeping track of cash, checking account, paying bills, etc.;Utiliza uma agência bancária e gerencia as finanças diárias, inclusive a manutenção do dinheiro, conta bancária, pagamento de contas etc.;Bancar e gerenciar finanças diárias, incluindo acompanhar o dinheiro, conta corrente, pagar contas, etc.;Uses a bank and manages daily finances, including handling money, bank account, paying bills, etc.
SCOFF;Do you make yourself ‘‘sick’’ because you feel uncomfortably full?;Você provoca vômito quando está se sentindo desconfortavelmente cheio?;"Você ""passa mal"" porque se sente desconfortavelmente cheio?";Do you make yourself vomit when you feel uncomfortably full?
SCOFF;Do you worry you have lost ‘‘control’’ over how much you eat?;Você se preocupa de ter perdido o controle do quanto você come?;"Você se preocupa por ter perdido o ""controle"" sobre o quanto você come?";Do you worry that you have lost control over how much you eat?
SCOFF;Have you recently lost ‘‘one’’ stone in a 3-month period?;Você perdeu recentemente mais de 5 quilos num período de 3 meses?;Você perdeu recentemente ‘‘uma’’ pedra em um período de 3 meses?;Have you recently lost more than 5 kilograms in a 3-month period?
SCOFF;Do you believe yourself to be ‘‘fat’’ when others say you are too thin?;Você acredita estar gordo(a), apesar das outras pessoas dizerem que você está muito magro(a)?;"Você se considera ""gordo"" quando os outros dizem que você é muito magro?";Do you believe you are fat, even though others say you are too thin?
SCOFF;Would you say that ‘‘food’’ dominates your life?;Você diria que a comida domina a sua vida?;"Você diria que a ""comida"" domina sua vida?";Would you say that food dominates your life?
SPAI;I was told more than once that I spend too much time on the smartphone.;Já me disseram mais de uma vez que eu passo tempo demais no smartphone.;Fui informado mais de uma vez que passo tempo demais no smartphone.;I’ve been told more than once that I spend too much time on my smartphone.
SPAI;I feel uneasy once I stop using the smartphone for a certain period of time.;Eu me sinto inquieto quando eu fico sem usar o smartphone durante um certo período de tempo.;Me sinto desconfortável quando paro de usar o smartphone por um certo período de tempo.;I feel restless when I go without using my smartphone for a certain period of time.
SPAI;I think I have been hooking on smartphone longer and longer.;Eu acho que eu tenho ficado cada vez mais tempo conectado ao smartphone.;Acho que tenho ficado viciado no smartphone por mais tempo.;I think I’ve been spending more and more time connected to my smartphone.
SPAI;I feel restless and irritable when the smartphone is unavailable.;Eu me sinto inquieto e irritado quando não tenho acesso ao smartphone.;Me sinto inquieto e irritado quando o smartphone não está disponível.;I feel restless and irritated when I don’t have access to my smartphone.
SPAI;I feel very vigorous upon smartphone use regardless the fatigues experienced.;Eu me sinto disposto a usar o smartphone mesmo quando me sinto cansado.;Sinto-me muito vigoroso ao usar o smartphone, independentemente do cansaço experimentado.;I feel willing to use my smartphone even when I’m tired.
SPAI;I use the smartphone for a long period of time and spend more money than I have intended.;Eu uso smartphone durante mais tempo e/ou gasto mais dinheiro nele do que eu pretendia inicialmente.;Uso o smartphone por um longo período de tempo e gasto mais dinheiro do que pretendia.;I use my smartphone for longer and/or spend more money on it than I initially intended.
SPAI;Although using smartphone has brought negative effects on my interpersonal relationships, the amount of time spent on the Internet remains unreduced.;Embora o uso de smartphone tenha trazido efeitos negativos nos meus relacionamentos interpessoais, a quantidade de tempo que eu gasto nele mantem-se a mesma.;Embora o uso do smartphone tenha trazido efeitos negativos para meus relacionamentos interpessoais, a quantidade de tempo gasto na Internet permanece inalterada.;Even though smartphone use has had negative effects on my interpersonal relationships, the amount of time I spend on it remains the same.
SPAI;I have slept less than four hours due to using the smartphone more than once.;Em mais de uma ocasião, eu dormi menos que quatro horas porque fiquei usando o smartphone.;Dormi menos de quatro horas por usar o smartphone mais de uma vez.;On more than one occasion, I slept less than four hours because I was using my smartphone.
SPAI;I have increased a substantial amount of time using smartphone per week in the last 3 months.;Eu tenho aumentado consideravelmente o tempo gasto usando o smartphone nos últimos 3 meses.;Aumentei substancialmente o tempo de uso do smartphone por semana nos últimos 3 meses.;I have significantly increased the amount of time spent using my smartphone in the last 3 months.
SPAI;I feel distressed or down once I cease using the smartphone for a certain period of time.;Eu me sinto incomodado ou para baixo quando eu paro de usar o smartphone por um certo período de tempo.;Me sinto angustiado ou para baixo quando paro de usar o smartphone por um certo período de tempo.;I feel uncomfortable or down when I stop using my smartphone for a certain period of time.
SPAI;I fail to control the impulse to use the smartphone.;Eu não consigo controlar o impulso de utilizar o smartphone.;Não consigo controlar o impulso de usar o smartphone.;I can’t control the impulse to use my smartphone.
SPAI;I find myself indulged on the smartphone at the cost of hanging out with friends.;Eu me sinto mais satisfeito utilizando o smartphone do que passando tempo com meus amigos.;Percebo que estou me dedicando ao smartphone em detrimento de sair com amigos.;I feel more satisfied using my smartphone than spending time with my friends.
SPAI;I feel aches and soreness in the back or eye discomforts due to excessive smartphone use.;Eu sinto dores ou incômodos nas costas, ou desconforto nos olhos, devido ao uso excessivo do smartphone.;Sinto dores e desconforto nas costas ou nos olhos devido ao uso excessivo do smartphone.;I feel pain or discomfort in my back, or eye strain, due to excessive smartphone use.
SPAI;The idea of using smartphone comes as the first thought on my mind when I wake up each morning.;A ideia de utilizar o smartphone vem como primeiro pensamento na minha cabeça quando acordo de manha.;A ideia de usar o smartphone vem como o primeiro pensamento na minha mente quando acordo todas as manhãs.;The idea of using my smartphone is the first thought in my head when I wake up in the morning.
SPAI;The use of smartphone has exercised certain negative effects on my schoolwork or job performance.;O uso de smartphone tem causado efeitos negativos no meu desempenho na escola ou no trabalho.;O uso do smartphone tem exercido certos efeitos negativos no meu desempenho escolar ou no trabalho.;Smartphone use has had negative effects on my performance at school or work.
SPAI;I feel missing something after stopping smartphone for a certain period of time.;Eu sinto falta de algo ao parar o uso do smartphone por um certo período de tempo.;Sinto que estou perdendo algo depois de parar de usar o smartphone por um certo período de tempo.;I feel like I’m missing something when I stop using my smartphone for a certain period of time.
SPAI;My interaction with family members has decreased on account of smartphone use.;Minha interação com meus familiares diminuiu por causa do meu uso do smartphone.;Minha interação com os membros da família diminuiu por conta do uso de smartphones.;My interaction with my family members has decreased because of my smartphone use.
SPAI;My recreational activities are reduced due to smartphone use.;Minhas atividades de lazer diminuíram por causa do uso do smartphone.;Minhas atividades recreativas estão reduzidas devido ao uso do smartphone.;My leisure activities have decreased because of smartphone use.
SPAI;I feel the urge to use my smartphone again right after I stop using it.;Eu sinto uma grande vontade de usar o smartphone novamente logo depois que eu paro de usa-lo.;Sinto vontade de usar meu smartphone novamente logo após parar de usá-lo.;I feel a strong urge to use the smartphone again right after I stop using it.
SPAI;My life would be joyless hadn’t there been the smartphone. ;Minha vida seria sem graça se eu não tivesse o smartphone.;Minha vida seria sem alegria se não fosse o smartphone.;My life would be boring if I didn’t have a smartphone.
SPAI;"Surfing the smartphone has exercised negative effects on my physical health. For example, viewing smartphone when crossing the street; fumbling with one’s smartphone while driving or waiting, and resulted in danger.";Navegar no smartphone tem causado prejuízos para a minha saúde física. Por exemplo, uso o smartphone quando atravesso a rua, ou enquanto dirijo ou espero algo, e esse uso pode ter me colocado em perigo.;"Navegar no smartphone tem exercido efeitos negativos na minha saúde física. Por exemplo, olhar para o smartphone ao atravessar a rua; mexer no smartphone enquanto dirige ou espera, resultando em perigo.";Using the smartphone has caused harm to my physical health. For example, I use the smartphone while crossing the street, or while driving or waiting for something, and this use may have put me in danger.
SPAI;I have tried to spend less time on the smartphone, but the efforts were in vain.;Eu tenho tentado passar menos tempo usando o smartphone, mas não tenho conseguido.;Tenho tentado passar menos tempo no smartphone, mas os esforços foram em vão.;I have tried to spend less time using the smartphone, but I haven’t been able to.
SPAI;I make it a habit to use the smartphone and my sleep quality and total sleep time have decreased.;Eu tornei o uso do smartphone um hábito e minha qualidade e tempo total de sono diminuíram.;Tenho o hábito de usar o smartphone e a qualidade do meu sono e o tempo total de sono diminuíram.;I’ve made smartphone use a habit, and both my sleep quality and total sleep time have decreased.
SPAI;I need to spend an increasing amount of time on the smartphone to achieve the same satisfaction as before.;Eu preciso gastar cada vez mais tempo no smartphone para alcançar a mesma satisfação de antes.;Preciso passar cada vez mais tempo no smartphone para alcançar a mesma satisfação de antes.;I need to spend more and more time on the smartphone to achieve the same satisfaction as before.
SPAI;I can not have a meal without smartphone use.;Eu não consigo fazer uma refeição sem utilizar o smartphone.;Não consigo fazer uma refeição sem usar o smartphone.;I can’t eat a meal without using the smartphone.
SPAI;I feel tired on daytime due to a late-night use of the smartphone.;Eu me sinto cansado durante o dia devido ao uso do smartphone tarde da noite/de madrugada.;Sinto-me cansado durante o dia devido ao uso do smartphone até tarde da noite.;I feel tired during the day due to using the smartphone late at night/early in the morning.
